screen_name,following,followed_by,usuario_objetivo
ComunesCL,True,True,Liberales_Chile
ComunesCL,False,False,PRChile
ComunesCL,False,False,ChilePDGcl
ComunesCL,True,True,la_convergencia
ComunesCL,False,False,ComunesCL
ComunesCL,False,False,PDC_Chile
ComunesCL,False,False,FedRegionalista
ComunesCL,True,True,RDemocratica
ComunesCL,False,False,evopoli
ComunesCL,False,True,PRadicalcl
ComunesCL,True,True,PCdeChile
ComunesCL,True,True,PSChile
ComunesCL,False,True,PPD_Chile
ComunesCL,False,False,udipopular
ComunesCL,False,False,RNchile
