screen_name,following,followed_by,usuario_objetivo
FedRegionalista,True,False,Liberales_Chile
FedRegionalista,False,False,PRChile
FedRegionalista,False,False,ChilePDGcl
FedRegionalista,True,False,la_convergencia
FedRegionalista,False,False,ComunesCL
FedRegionalista,False,False,PDC_Chile
FedRegionalista,False,False,FedRegionalista
FedRegionalista,True,False,RDemocratica
FedRegionalista,False,False,evopoli
FedRegionalista,False,False,PRadicalcl
FedRegionalista,True,True,PCdeChile
FedRegionalista,False,False,PSChile
FedRegionalista,True,False,PPD_Chile
FedRegionalista,False,False,udipopular
FedRegionalista,False,False,RNchile
