screen_name,following,followed_by,usuario_objetivo
PRChile,False,False,Liberales_Chile
PRChile,False,False,PRChile
PRChile,False,False,ChilePDGcl
PRChile,False,False,la_convergencia
PRChile,False,False,ComunesCL
PRChile,False,False,PDC_Chile
PRChile,False,False,FedRegionalista
PRChile,False,False,RDemocratica
PRChile,False,False,evopoli
PRChile,False,False,PRadicalcl
PRChile,False,False,PCdeChile
PRChile,False,False,PSChile
PRChile,False,False,PPD_Chile
PRChile,False,False,udipopular
PRChile,False,False,RNchile
