screen_name,following,followed_by,usuario_objetivo
evopoli,False,True,Liberales_Chile
evopoli,False,False,PRChile
evopoli,False,False,ChilePDGcl
evopoli,False,False,la_convergencia
evopoli,False,False,ComunesCL
evopoli,False,True,PDC_Chile
evopoli,False,False,FedRegionalista
evopoli,False,False,RDemocratica
evopoli,False,False,evopoli
evopoli,False,True,PRadicalcl
evopoli,False,False,PCdeChile
evopoli,False,False,PSChile
evopoli,True,True,PPD_Chile
evopoli,True,True,udipopular
evopoli,True,True,RNchile
